Source IP,Source Port,Destination IP,Destinatino Port,Protocol,Num_pkts,Bytes,Stream ID,StoD Num_pkts,StoD bytes,DtoS Num_pkts,DtoS bytes,Captured Time,Duration,StoD bits/sec,DtoS bits/sec
192.168.0.38,24152,168.126.63.2,53,UDP,2,231,104,1,83,1,148,104.695963,0.00555,119639,213333
192.168.0.38,54776,185.199.110.154,443,TCP,507,516265,28,93,12533,414,503732,104.701831,188.241124,532,21407
192.168.0.38,54777,185.199.110.154,443,TCP,15,5726,29,6,901,9,4825,104.705159,0.019271,374033,2003009
192.168.0.38,54778,185.199.110.154,443,TCP,15,5726,30,6,901,9,4825,104.70541,0.01915,376396,2015665
192.168.0.38,54779,185.199.110.154,443,TCP,16,5780,31,7,955,9,4825,104.705704,0.017343,440523,2225681
192.168.0.38,54780,185.199.110.154,443,TCP,14,5672,32,5,847,9,4825,104.705908,0.018523,365815,2083895
192.168.0.38,54781,185.199.110.154,443,TCP,15,5726,33,6,901,9,4825,104.706109,0.018322,393406,2106756
192.168.0.38,57266,168.126.63.2,53,UDP,2,621,105,1,89,1,532,104.710393,0.005104,139498,833855
192.168.0.38,51669,168.126.63.2,53,UDP,2,263,106,1,89,1,174,104.710436,0.00506,140711,275098
192.168.0.38,54782,185.199.111.133,443,TCP,37,10063,34,17,2241,20,7822,104.716071,188.228745,95,332
192.168.0.38,58609,168.126.63.2,53,UDP,4,432,107,3,279,1,153,104.734684,6919.213537,0,0
192.168.0.38,9195,168.126.63.2,53,UDP,2,260,108,1,89,1,171,104.734686,0.064928,10965,21069
192.168.0.38,39052,168.126.63.2,53,UDP,2,557,109,1,89,1,468,104.735118,0.007878,90378,475247
192.168.0.38,28543,168.126.63.2,53,UDP,2,338,110,1,89,1,249,104.735155,0.007842,90793,254016
192.168.0.38,47127,168.126.63.2,53,UDP,2,230,111,1,83,1,147,104.735228,0.007768,85478,151390
192.168.0.38,38212,168.126.63.2,53,UDP,2,248,112,1,83,1,165,104.735265,0.00773,85899,170763
192.168.0.38,32176,168.126.63.2,53,UDP,2,250,113,1,93,1,157,104.747583,0.008008,92907,156843
192.168.0.38,46324,168.126.63.2,53,UDP,2,271,114,1,93,1,178,104.747602,0.007989,93128,178245
192.168.0.38,57831,168.126.63.2,53,UDP,2,294,115,1,91,1,203,104.951861,0.005393,134989,301131
192.168.0.38,12136,168.126.63.2,53,UDP,2,242,116,1,91,1,151,104.951898,0.005355,135947,225583
192.168.0.38,51232,168.126.63.2,53,UDP,2,234,117,1,85,1,149,104.969514,0.006326,107492,188428
192.168.0.38,23265,168.126.63.2,53,UDP,2,255,118,1,85,1,170,104.969582,0.006257,108678,217356
192.168.0.38,54783,185.199.110.133,443,TCP,1352,1639923,35,175,15145,1177,1624778,104.976128,187.964792,644,69152
192.168.0.38,54784,185.199.110.154,443,TCP,103,65341,36,32,4014,71,61327,105.647941,187.293085,171,2619
192.168.0.38,34332,168.126.63.2,53,UDP,2,162,119,1,73,1,89,109.627965,0.005056,115506,140822
192.168.0.38,16374,168.126.63.2,53,UDP,2,206,120,1,73,1,133,109.628054,0.004967,,
192.168.0.38,60002,142.250.206.225,443,UDP,26,9816,121,12,3229,14,6587,109.633669,0.254448,101521,207099
192.168.0.38,30539,168.126.63.2,53,UDP,2,210,122,1,73,1,137,109.79082,0.006358,91852,172381
192.168.0.38,39651,168.126.63.2,53,UDP,2,254,123,1,73,1,181,109.79096,0.006219,93905,232834
192.168.0.38,58520,168.126.63.1,53,UDP,2,241,124,1,78,1,163,110.11758,0.005927,105280,220010
192.168.0.38,59681,168.126.63.1,53,UDP,2,252,125,1,78,1,174,110.117675,0.005831,107014,238724
192.168.0.38,49962,17.248.161.70,443,UDP,30,9824,126,16,5900,14,3924,110.140501,60.191663,784,521
192.168.0.38,49347,139.178.159.29,443,UDP,24,8627,127,12,4600,12,4027,110.150824,60.1813,611,535
192.168.0.38,53258,168.126.63.1,53,UDP,2,246,128,1,86,1,160,110.394011,0.004893,,
192.168.0.38,61336,168.126.63.1,53,UDP,2,236,129,1,86,1,150,110.39413,0.004775,,
192.168.0.38,54143,17.253.75.207,443,TCP,30,9062,37,14,1777,16,7285,110.401198,31.275401,454,1863
192.168.0.38,54308,168.126.63.1,53,UDP,2,258,130,1,92,1,166,110.742866,0.006373,115487,208379
192.168.0.38,59330,168.126.63.1,53,UDP,2,248,131,1,92,1,156,110.742948,0.00629,117011,198410
192.168.0.38,54144,17.253.115.198,80,TCP,36,11007,38,17,2607,19,8400,110.752411,61.161459,340,1098
192.168.0.38,63809,66.22.228.211,50001,UDP,17757,20291455,132,17027,20207793,730,83662,113.516296,60.009736,2693935,11153
192.168.0.38,33525,168.126.63.2,53,UDP,2,208,133,1,79,1,129,115.68458,0.00619,102100,166720
192.168.0.38,52122,168.126.63.2,53,UDP,2,232,134,1,79,1,153,115.684686,0.006083,103896,201216
192.168.0.38,56435,142.250.206.206,443,UDP,21,9189,135,9,4036,12,5153,115.691518,0.325227,99278,126754
192.168.0.38,48002,168.126.63.2,53,UDP,2,182,136,1,83,1,99,116.927246,0.005833,113835,135779
192.168.0.38,7428,168.126.63.2,53,UDP,2,223,137,1,83,1,140,116.927322,0.005757,115337,194545
192.168.0.38,55078,172.217.161.238,443,UDP,19,6871,138,9,2457,10,4414,116.933787,0.253133,77650,139499
192.168.0.38,62459,172.217.161.238,443,UDP,3302,354741,139,1620,159929,1682,194812,117.155675,2669.339414,479,583
192.168.0.7,137,192.168.0.255,137,UDP,32,2944,140,32,2944,0,0,132.87893,2936.259064,8,0
192.168.0.38,137,192.168.0.255,137,UDP,16,1580,141,16,1580,0,0,132.882307,6891.06599,1,0
192.168.0.38,54432,172.217.25.174,443,UDP,757,444898,142,282,42095,475,402803,142.020893,131.968185,2551,24418
192.168.0.38,53857,142.250.76.138,443,UDP,34,8926,143,16,3243,18,5683,144.784719,25.735901,1008,1766
192.168.0.50,52244,192.168.0.38,7000,TCP,13,2679,39,6,449,7,2230,148.235843,0.099831,35980,178702
192.168.0.50,5353,224.0.0.251,5353,UDP,108,37165,144,108,37165,0,0,148.547638,4076.896696,72,0
fe80::14d9:ba51:6353:9e5e,5353,ff02::fb,5353,UDP,109,39742,145,109,39742,0,0,148.547639,4076.896695,77,0
192.168.0.38,55637,239.255.255.250,1900,UDP,4,872,146,4,872,0,0,153.199115,3.011618,2316,0
192.168.0.38,24001,168.126.63.2,53,UDP,2,258,147,1,85,1,173,154.578421,0.004866,,
192.168.0.38,61394,168.126.63.2,53,UDP,2,230,148,1,85,1,145,154.57849,0.004798,,
192.168.0.38,61852,216.239.38.180,443,UDP,21,8503,149,10,3585,11,4918,154.583857,0.299756,95677,131253
192.168.0.38,55557,142.250.206.206,443,UDP,122,33007,150,58,19563,64,13444,155.467252,129.439704,1209,830
192.168.0.38,2536,168.126.63.2,53,UDP,2,236,151,1,86,1,150,156.546445,0.006129,112253,195790
192.168.0.38,19089,168.126.63.2,53,UDP,2,257,152,1,86,1,171,156.546509,0.006065,113437,225556
192.168.0.50,52245,192.168.0.38,7000,TCP,12,2613,40,6,449,6,2164,159.32918,0.052262,68730,331254
192.168.0.38,50895,168.126.63.2,53,UDP,2,198,153,1,91,1,107,160.753539,0.005556,131029,154067
192.168.0.38,33237,168.126.63.2,53,UDP,2,242,154,1,91,1,151,160.753598,0.005498,132411,219716
192.168.0.38,64841,142.250.207.106,443,UDP,19,6891,155,9,2461,10,4430,160.759689,0.263728,74652,134380
192.168.0.38,60969,142.250.207.100,443,UDP,2240,1659831,156,622,99178,1618,1560653,164.259432,104.386618,7600,119605
